Timestamp,Queue_Manager,Queue_Name,Queue_Type,Current_Depth,Input_Count,Output_Count,Connection,Channel,User,Process_ID,Application_Tag,Process_Type,Role
2026-02-12 23:50:28,MQQM1,SYSTEM.CLUSTER.COMMAND.QUEUE,LOCAL,0,1,0,N/A,N/A,MUSR_MQADMIN,16668,es\IBM\MQ\bin64\amqrrmfa.exe,QMGR,Reader
2026-02-12 23:50:28,MQQM1,SYSTEM.CLUSTER.HISTORY.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.CLUSTER.REPOSITORY.QUEUE,LOCAL,2,1,1,N/A,N/A,MUSR_MQADMIN,16668,es\IBM\MQ\bin64\amqrrmfa.exe,QMGR,Reader/Writer
2026-02-12 23:50:28,MQQM1,SYSTEM.CLUSTER.TRANSMIT.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DDELAY.LOCAL.QUEUE,LOCAL,0,1,0,N/A,N/A,MUSR_MQADMIN,12012,es\IBM\MQ\bin64\amqzmur0.exe,QMGR,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DDELAY.LOCAL.QUEUE,LOCAL,0,1,0,N/A,N/A,MUSR_MQADMIN,12012,es\IBM\MQ\bin64\amqzmur0.exe,QMGR,Reader
2026-02-12 23:50:28,MQQM1,SYSTEM.DEAD.LETTER.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DEFAULT.INITIATION.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DEFAULT.LOCAL.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DOTNET.XARECOVERY.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.DURABLE.SUBSCRIBER.QUEUE,LOCAL,1,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.HIERARCHY.STATE,LOCAL,2,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.INTER.QMGR.CONTROL,LOCAL,0,1,0,N/A,N/A,MUSR_MQADMIN,8020,es\IBM\MQ\bin64\amqzmuf0.exe,QMGR,Reader
2026-02-12 23:50:28,MQQM1,SYSTEM.INTER.QMGR.FANREQ,LOCAL,0,1,1,N/A,N/A,MUSR_MQADMIN,8020,es\IBM\MQ\bin64\amqzmuf0.exe,QMGR,Reader/Writer
2026-02-12 23:50:28,MQQM1,SYSTEM.INTER.QMGR.PUBS,LOCAL,0,1,0,N/A,N/A,MUSR_MQADMIN,8020,es\IBM\MQ\bin64\amqzmuf0.exe,QMGR,Reader
2026-02-12 23:50:28,MQQM1,SYSTEM.INTERNAL.REPLY.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.INTERNAL.REQUEST.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.PENDING.DATA.QUEUE,LOCAL,0,1,1,N/A,N/A,MUSR_MQADMIN,12012,es\IBM\MQ\bin64\amqzmur0.exe,QMGR,Reader/Writer
2026-02-12 23:50:28,MQQM1,SYSTEM.PROTECTION.ERROR.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.PROTECTION.POLICY.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.REST.REPLY.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.RETAINED.PUB.QUEUE,LOCAL,31,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.SELECTION.EVALUATION.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,SYSTEM.SELECTION.VALIDATION.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,TEST.Q1,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,TEST.Q2,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,TEST.Q3,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
2026-02-12 23:50:28,MQQM1,TEST.QUEUE,LOCAL,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A
