Queue_Name,Queue_Type,Current_Depth,Handle_Type,Input_Count,Output_Count,Connection_Name,User_ID,Channel_Name,Process_ID,Status
MQQM1,SYSTEM.ADMIN.COMMAND.EVENT,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.COMMAND.QUEUE,LOCAL,0,1,1
MQQM1,SYSTEM.ADMIN.CONFIG.EVENT,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.LOGGER.EVENT,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.PERFM.EVENT,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.PUBSUB.EVENT,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.QMGR.EVENT,LOCAL,1,0,0
MQQM1,SYSTEM.ADMIN.STATISTICS.QUEUE,LOCAL,115,0,0
MQQM1,SYSTEM.ADMIN.TRACE.ACTIVITY.QUEUE,LOCAL,0,0,0
MQQM1,SYSTEM.ADMIN.TRACE.ROUTE.QUEUE,LOCAL,0,0,0
MQQM1,SYSTEM.AMQP.COMMAND.QUEUE,LOCAL,0,0,0
MQQM1,SYSTEM.AUTH.DATA.QUEUE,LOCAL,111,1,1
MQQM1,SYSTEM.BROKER.ADMIN.STREAM,LOCAL,0,1,1
MQQM1,SYSTEM.BROKER.CONTROL.QUEUE,LOCAL,0,3,0
MQQM1,SYSTEM.BROKER.DEFAULT.STREAM,LOCAL,0,1,0
MQQM1,SYSTEM.BROKER.INTER.BROKER.COMMUNICATIONS,LOCAL,0,1,0
MQQM1,SYSTEM.CHANNEL.INITQ,LOCAL,0,1,0
MQQM1,SYSTEM.CHANNEL.SYNCQ,LOCAL,0,0,0
MQQM1,SYSTEM.CHLAUTH.DATA.QUEUE,LOCAL,4,0,0
MQQM1,SYSTEM.CICS.INITIATION.QUEUE,LOCAL,0,0,0
MQQM1,SYSTEM.CLUSTER.COMMAND.QUEUE,LOCAL,0,1,0
MQQM1,SYSTEM.CLUSTER.HISTORY.QUEUE,LOCAL,0,0,0
MQQM1,SYSTEM.CLUSTER.REPOSITORY.QUEUE,LOCAL,2,1,1
